NumberLow,NumberHigh,RIR,WHOIS,RDAP,Reference
61440,61951,LACNIC,whois.lacnic.net,https://rdap.lacnic.net/rdap/,
61952,62463,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,
62464,63487,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",
63488,63999,APNIC,whois.apnic.net,https://rdap.apnic.net/,
64000,64098,APNIC,whois.apnic.net,https://rdap.apnic.net/,
64099,64197,LACNIC,whois.lacnic.net,https://rdap.lacnic.net/rdap/,
64198,64296,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",
64297,64395,APNIC,whois.apnic.net,https://rdap.apnic.net/,
64396,64495,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,
131072,132095,APNIC,whois.apnic.net,https://rdap.apnic.net/,
132096,133119,APNIC,whois.apnic.net,https://rdap.apnic.net/,
133120,133631,APNIC,whois.apnic.net,https://rdap.apnic.net/,
133632,134556,APNIC,whois.apnic.net,https://rdap.apnic.net/,
134557,135580,APNIC,whois.apnic.net,https://rdap.apnic.net/,
135581,136505,APNIC,whois.apnic.net,https://rdap.apnic.net/,
136506,137529,APNIC,whois.apnic.net,https://rdap.apnic.net/,
137530,138553,APNIC,whois.apnic.net,https://rdap.apnic.net/,
138554,139577,APNIC,whois.apnic.net,https://rdap.apnic.net/,
139578,140601,APNIC,whois.apnic.net,https://rdap.apnic.net/,
140602,141625,APNIC,whois.apnic.net,https://rdap.apnic.net/,
141626,142649,APNIC,whois.apnic.net,https://rdap.apnic.net/,
142650,143673,APNIC,whois.apnic.net,https://rdap.apnic.net/,
143674,144697,APNIC,whois.apnic.net,https://rdap.apnic.net/,
144698,145721,APNIC,whois.apnic.net,https://rdap.apnic.net/,
145722,146745,APNIC,whois.apnic.net,https://rdap.apnic.net/,
146746,147769,APNIC,whois.apnic.net,https://rdap.apnic.net/,
147770,148793,APNIC,whois.apnic.net,https://rdap.apnic.net/,
148794,149817,APNIC,whois.apnic.net,https://rdap.apnic.net/,
149818,150841,APNIC,whois.apnic.net,https://rdap.apnic.net/,
150842,151865,APNIC,whois.apnic.net,https://rdap.apnic.net/,
196608,197631,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,
197632,198655,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,
198656,199679,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,
199680,200191,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,
200192,201215,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,
201216,202239,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,
202240,203263,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,
203264,204287,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,
204288,205211,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,
205212,206235,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,
206236,207259,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,
207260,208283,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,
208284,209307,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,
209308,210331,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,
210332,211355,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,
211356,212379,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,
212380,213403,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,
262144,263167,LACNIC,whois.lacnic.net,https://rdap.lacnic.net/rdap/,
263168,263679,LACNIC,whois.lacnic.net,https://rdap.lacnic.net/rdap/,
263680,264604,LACNIC,whois.lacnic.net,https://rdap.lacnic.net/rdap/,
264605,265628,LACNIC,whois.lacnic.net,https://rdap.lacnic.net/rdap/,
265629,266652,LACNIC,whois.lacnic.net,https://rdap.lacnic.net/rdap/,
266653,267676,LACNIC,whois.lacnic.net,https://rdap.lacnic.net/rdap/,
267677,268700,LACNIC,whois.lacnic.net,https://rdap.lacnic.net/rdap/,
268701,269724,LACNIC,whois.lacnic.net,https://rdap.lacnic.net/rdap/,
269725,270748,LACNIC,whois.lacnic.net,https://rdap.lacnic.net/rdap/,
270749,271772,LACNIC,whois.lacnic.net,https://rdap.lacnic.net/rdap/,
271773,272796,LACNIC,whois.lacnic.net,https://rdap.lacnic.net/rdap/,
272797,273820,LACNIC,whois.lacnic.net,https://rdap.lacnic.net/rdap/,
327680,328703,AFRINIC,whois.afrinic.net,"https://rdap.afrinic.net/rdap/ http://rdap.afrinic.net/rdap/",
328704,329727,AFRINIC,whois.afrinic.net,"https://rdap.afrinic.net/rdap/ http://rdap.afrinic.net/rdap/",
393216,394239,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",
394240,395164,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",
395165,396188,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",
396189,397212,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",
397213,398236,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",
398237,399260,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",
399261,400284,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",
400285,401308,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",
