index      asn country  hosts
294    AS33652      US     10
295    AS21351      GP     10
296    AS30985      ML     10
297    AS14117      UY     10
298    AS28469      MX      9
299     AS9146      BA      9
300    AS50581      UA      9
301    AS45498      AU      9
302    AS19889      UY      9
303    AS28343              9
304     AS8400      RS      9
305    AS25255      AT      9
306     AS8544      CY      9
307    AS35297      UA      9
308   AS203735      IQ      9
309     AS9260      AU      9
310     AS5610      CZ      9
311     AS5390      NL      9
312   AS132165      AU      9
313    AS58895      AU      9
314   AS262642              9
315    AS18001      AU      9
316    AS27775      SR      9
317     AS6810      IL      9
318    AS45903      AU      9
319     AS9158      DK      9
320    AS28512      MX      9
321    AS20771      GE      9
322    AS51825      IL      9
323    AS51440      PS      9
324     AS5384      AE      9
325     AS6752      AD      9
326     AS8953      RO      9
327    AS12400      IL      9
328    AS14522      UY      9
329   AS131267      AU      9
330    AS37076      NG      9
331     AS6849      UA      9
332     AS6877      UA      9
333    AS23966      AU      9
334     AS6057      UY      9
335    AS17494      AU      9
336    AS58717      AU      9
337    AS17754      AU      9
338    AS38264      AU      9
339    AS15958      RS      9
340    AS37037      MG      9
341     AS3326      rs      9
342    AS36866      KE      9
343    AS54115      US      9
344   AS266233              9
345     AS7922      US      8
346   AS197830      AZ      8
347    AS45960      AU      8
348    AS44143      RS      8
349   AS134033      AU      8
350    AS37575      CV      8
351    AS42961      KW      8
352     AS8193      UZ      8
353    AS23889      AU      8
354   AS270161      MX      8
355    AS61832              8
356    AS27932      HN      8
357    AS61568              8
358    AS37030      GH      8
359    AS63526      AU      8
360    AS33576      JM      8
361    AS45769      AU      8
362    AS21271              8
363    AS19429      UY      8
364    AS35047      AL      8
365    AS37309      GM      8
366    AS12978      TR      8
367    AS37164      SL      8
368    AS10299      UY      8
369    AS23750      AU      8
370    AS33660      US      8
371    AS37563      SO      8
372    AS45194      AU      8
373    AS17882      AU      8
374    AS43557      DK      8
375    AS47394      AL      8
376    AS48832      JO      8
377    AS30992      CM      8
378    AS28598              8
379     AS5578      SK      8
380    AS43612      MK      8
381    AS37196      SN      8
382     AS8585      ME      8
383   AS139981      AU      8
384   AS136969      AU      8
385   AS328200      LY      8
386    AS52871              8
387    AS21246      AL      8
388    AS53184              8
389    AS16591      US      8
390    AS31721      AZ      8
391     AS5466      IE      8
392    AS22085      UY      8
393    AS29357      KW      8
394    AS37168      ZA      8
395   AS133232      AU      8
396   AS131178      AU      8
397    AS39010      LB      8
398    AS38082      AU      8
399    AS21575      UY      8
400    AS15706              8
