           asn  hosts
55     AS37575     8
1165   AS42961     8
1642    AS8193     8
1011   AS23889     8
67    AS270161     8
414    AS61832     8
305    AS27932     8
1592   AS61568     8
573    AS37030     8
143    AS63526     8
831    AS33576     8
934    AS45769     8
4      AS21271     8
1087   AS19429     8
854    AS35047     8
920    AS37309     8
856    AS12978     8
1108   AS37164     8
234    AS10299     8
576    AS23750     8
88     AS33660     8
612    AS37563     8
610    AS45194     8
609    AS17882     8
608    AS43557     8
222    AS47394     8
1392   AS48832     8
212    AS30992     8
1442   AS28598     8
602     AS5578     8
888    AS43612     8
824    AS37196     8
139     AS8585     8
942   AS139981     8
288   AS136969     8
998   AS328200     8
516    AS52871     8
982    AS21246     8
322    AS53184     8
1276   AS16591     8
967    AS31721     8
1075    AS5466     8
10     AS22085     8
1334   AS29357     8
1296   AS37168     8
1119  AS133232     8
957   AS131178     8
280    AS39010     8
543    AS38082     8
545    AS21575     8
549    AS15706     8
823   AS136255     8
1679   AS36972     8
741    AS42020     7
467    AS28555     7
726   AS197288     7
747    AS12334     7
1082   AS57513     7
980     AS6821     7
701    AS41206     7
753   AS265130     7
598    AS45178     7
590     AS3212     7
899    AS15802     7
916    AS59282     7
622    AS50223     7
851    AS25229     7
846    AS28198     7
633   AS203217     7
833    AS34087     7
640    AS41750     7
939    AS38193     7
550   AS132768     7
547    AS62211     7
815    AS55805     7
961     AS6503     7
962    AS11139     7
532    AS23700     7
530     AS4657     7
786   AS140045     7
668    AS52742     7
521     AS8680     7
669   AS196925     7
519   AS264129     7
672    AS61678     7
996    AS17465     7
677    AS38819     7
502    AS27768     7
764    AS37075     7
1016   AS49800     7
442    AS35004     7
0     AS137329     7
440     AS8717     7
1762   AS53019     7
1319  AS262503     7
1576   AS45356     7
287    AS23860     7
1283  AS202940     7
313    AS58601     7
1267    AS9443     7
138    AS24389     7
349     AS3255     7
1332   AS37693     7
142    AS51018     7
372    AS42772     7
377    AS27951     7
380    AS12997     7
1173   AS19422     7
382    AS37035     7
41    AS263652     7
1328    AS6079     7
265    AS21508     7
149     AS9873     7
1386   AS15962     7
131   AS210116     7
1452   AS27651     7
200     AS9051     7
1850  AS265066     7
1412   AS38999     7
218    AS42314     7
1387   AS24757     7
1380   AS10219     7
1569  AS262988     7
1546    AS6306     7
122     AS6639     7
1548   AS11232     7
187    AS51225     7
241    AS29310     7
181     AS4817     7
1873  AS262468     7
1668   AS28300     7
1263   AS44869     7
434    AS28306     7
1687  AS264293     7
1489   AS59239     7
1111   AS24088     7
1697   AS14868     7
423    AS43824     7
1145   AS43852     7
1673  AS262605     6
1562  AS328061     6
932    AS37678     6
458    AS10094     6
665    AS36912     6
663    AS52771     6
186   AS262865     6
1351  AS264228     6
457    AS36923     6
1371   AS28917     6
1072   AS18196     6
937    AS14638     6
1131   AS37136     6
794   AS270814     6
260    AS17917     6
1878   AS41937     6
1343    AS7438     6
629    AS15377     6
267   AS264461     6
869    AS28202     6
