           asn  hosts
323    AS33567     3
1261  AS265147     3
325   AS134000     3
2027  AS265721     3
1902   AS52935     3
2176   AS18678     3
914   AS268054     3
335   AS197556     3
1253  AS264691     3
915   AS200742     3
574    AS15735     3
1288  AS137959     3
1249    AS8053     3
1290  AS264127     3
597   AS266192     3
1331   AS53180     3
271   AS134739     3
1325   AS12969     3
1324  AS263793     3
1320   AS52279     3
886    AS52145     3
1318  AS265634     3
593   AS133840     3
592   AS263589     3
587    AS55699     3
1313   AS45224     3
1312   AS53080     3
585   AS262346     3
278    AS37473     3
1888  AS199046     3
1889  AS263774     3
1306  AS262387     3
1305   AS11090     3
290    AS50973     3
2096   AS36958     3
1299  AS136696     3
1298  AS146904     3
1293   AS25607     3
1291  AS262740     3
1250   AS55492     3
858   AS132559     3
1234   AS28178     3
2026  AS135218     3
352   AS266374     3
2100  AS264847     3
1230   AS53087     3
565    AS32020     3
567    AS25139     3
1907   AS13585     3
2025   AS38077     3
1918  AS262539     3
348   AS262851     3
1248   AS27837     3
2074    AS8075     2
1968  AS265780     2
2134  AS202699     2
1864  AS132754     2
2072   AS16223     2
1812   AS36907     2
2187  AS136975     2
2241  AS262316     2
1825   AS38067     2
2046   AS29544     2
1827  AS267756     2
2113  AS210016     2
2003  AS262409     2
2070   AS37376     2
1914  AS263566     2
1972  AS131306     2
2277  AS269931     2
1927   AS37084     2
1756   AS52729     2
1755  AS262689     2
2209  AS208821     2
2213    AS7522     2
2276  AS262514     2
1838   AS18747     2
2139   AS61582     2
1761  AS134316     2
1963  AS268503     2
2041  AS141339     2
2211  AS136841     2
1760   AS58971     2
2138  AS263985     2
2111  AS267106     2
2136  AS262588     2
2048   AS52971     2
1758  AS263484     2
1965  AS269558     2
2094  AS139418     2
1967  AS263289     2
1890  AS262407     2
2040   AS61858     2
2132   AS34779     2
1869  AS262700     2
1870  AS265454     2
2279  AS268199     2
1830  AS268737     2
2032    AS6300     2
2039  AS213402     2
2066    AS4826     2
1874   AS58504     2
1925   AS53088     2
2068   AS44416     2
1885   AS15344     2
1727  AS267864     2
1987   AS46650     2
2035   AS27672     2
2195  AS263067     2
1991  AS138623     2
1992  AS141642     2
1884   AS52465     2
1883  AS209380     2
1880  AS268200     2
1922  AS264564     2
1720  AS149248     2
1994   AS17222     2
1982  AS263224     2
2237  AS134241     2
2061   AS55944     2
2128  AS262234     2
2030   AS31343     2
1763   AS28287     2
2232  AS263765     2
1741  AS267530     2
2131  AS269194     2
2130  AS266783     2
2295  AS266152     2
2202   AS52974     2
1973  AS262847     2
2000   AS52232     2
1974  AS262336     2
2298    AS1547     2
1975  AS140243     2
1978  AS263324     2
1979   AS53167     2
1733  AS266518     2
2197   AS11979     2
1732   AS28186     2
2065  AS138346     2
2175   AS48847     2
2141  AS262567     2
2110   AS52294     2
2099  AS265272     2
2157   AS52682     2
1940  AS136759     2
1941  AS263442     2
2261   AS45845     2
2049   AS61888     2
1906   AS30325     2
1839   AS13357     2
2087   AS52381     2
2228  AS262352     2
1898   AS45650     2
1795  AS263739     2
1794  AS267186     2
2264  AS264288     2
2016   AS13576     2
1819   AS28334     2
1931   AS37287     2
2010  AS133007     2
2090   AS27955     2
1929    AS9902     2
1791  AS263151     2
2257  AS266894     2
2218   AS25133     2
1817  AS201746     2
2221  AS267458     2
2166  AS264969     2
2258  AS140594     2
2051  AS327952     2
2043   AS38457     2
2085  AS133997     2
1881  AS199284     2
2053  AS266344     2
2101  AS268430     2
1903  AS263222     2
1804   AS28270     2
1843   AS55862     2
1800  AS264297     2
2015   AS33749     2
2160  AS265229     2
1813  AS266058     2
1933   AS36149     2
2014   AS20207     2
2260   AS35900     2
1801  AS264821     2
1901  AS264046     2
1939   AS52862     2
2154  AS132932     2
2270  AS262653     2
2028  AS264006     2
2142   AS52614     2
2009  AS267749     2
1777  AS134134     2
1861  AS135780     2
2020  AS264996     2
1908  AS141137     2
2075  AS328619     2
2251   AS28523     2
1955   AS28541     2
2248  AS264496     2
2182  AS263544     2
2149  AS262645     2
1770  AS262521     2
1910   AS18049     2
2246  AS264479     2
1768   AS52850     2
1928  AS262460     2
2029   AS52872     2
2005   AS52300     2
2058  AS265234     2
2186  AS131210     2
2145  AS263522     2
2181    AS9946     2
2152   AS39273     2
2150   AS57049     2
2151   AS11815     2
1787  AS264832     2
1786  AS265268     2
1853  AS142559     2
1945  AS135724     2
1946  AS267464     2
2078  AS264642     2
1854  AS208734     2
1783  AS265768     2
1855  AS264758     2
1779   AS11404     2
1857  AS262680     2
1894  AS136514     2
1947    AS9658     2
2180   AS41738     2
2170   AS53108     2
2017  AS262375     2
1859  AS264460     2
1780   AS61792     2
2274   AS18840     2
2215  AS265277     2
1170  AS267163     2
1716  AS265691     2
767   AS328169     2
951    AS27717     2
952   AS262259     2
959   AS136724     2
973    AS45271     2
975    AS58952     2
978    AS12754     2
989   AS266028     2
993   AS262983     2
994    AS27887     2
999   AS262607     2
1000  AS138179     2
1009   AS61934     2
1013  AS212330     2
1019   AS11796     2
1022  AS263596     2
1023  AS197350     2
1028  AS263230     2
1034   AS30983     2
1042  AS263903     2
933     AS6758     2
931   AS262999     2
930   AS266668     2
863     AS8728     2
806   AS263244     2
809    AS46687     2
817   AS134204     2
819    AS53005     2
821   AS137157     2
832    AS17813     2
835   AS262374     2
859   AS262333     2
875   AS266322     2
929   AS138797     2
883    AS28787     2
891   AS137236     2
896   AS263338     2
913    AS14877     2
917   AS135876     2
921   AS268659     2
926    AS52323     2
928     AS3855     2
1044   AS28024     2
1045    AS9269     2
1047   AS43733     2
1229  AS136286     2
1196  AS264567     2
1198  AS136262     2
1205  AS263024     2
1211  AS139490     2
1223  AS264605     2
1224  AS135594     2
1225  AS263763     2
1228   AS23752     2
1236   AS37340     2
1190   AS20910     2
1239   AS61942     2
1240   AS37550     2
1242  AS135139     2
1243   AS52545     2
1244  AS267175     2
1258  AS269906     2
1262   AS27865     2
1271  AS269832     2
1192  AS134022     2
1188   AS27976     2
1060  AS262734     2
1112  AS208031     2
1061  AS263145     2
1063  AS328088     2
1068  AS263144     2
1079  AS262784     2
1088  AS133275     2
1089   AS27903     2
1102   AS52686     2
1107  AS266136     2
1121  AS266215     2
1183  AS141152     2
1126  AS135258     2
1133  AS204149     2
1134   AS52242     2
1142  AS264245     2
1144   AS36963     2
1149   AS52477     2
1162   AS38753     2
1178   AS56484     2
803   AS262187     2
756   AS269816     2
1278   AS53201     2
751   AS135253     2
250   AS262449     2
251    AS58945     2
268   AS262196     2
281    AS34718     2
291    AS17625     2
306   AS135692     2
310    AS53172     2
317    AS45766     2
326    AS45775     2
327    AS53175     2
344   AS141014     2
365   AS138296     2
373    AS53131     2
379     AS7106     2
389   AS134884     2
390   AS262470     2
406   AS262683     2
417   AS267575     2
418   AS264359     2
233    AS13044     2
229    AS52807     2
228   AS138311     2
114   AS262360     2
8     AS134026     2
30     AS58552     2
37     AS44213     2
42     AS28009     2
45      AS9790     2
91    AS132686     2
110   AS264781     2
112   AS264750     2
136    AS37343     2
217   AS204209     2
161   AS262262     2
165    AS52699     2
167   AS266356     2
170   AS264836     2
174    AS34458     2
191    AS17961     2
201   AS141731     2
209    AS20412     2
419   AS263346     2
429    AS52320     2
436   AS268707     2
679   AS262673     2
615    AS52937     2
626   AS138771     2
636   AS263650     2
653   AS267221     2
657   AS263362     2
667    AS28667     2
670    AS52892     2
675   AS264344     2
700   AS267373     2
583   AS262215     2
709   AS268331     2
712    AS37154     2
714   AS268512     2
727   AS210315     2
729   AS262491     2
730    AS10131     2
736    AS53050     2
738   AS139428     2
614    AS28309     2
581   AS262669     2
439   AS262526     2
493    AS37053     2
446   AS264498     2
459   AS263880     2
464    AS53086     2
469    AS28328     2
470    AS12946     2
475    AS52706     2
483   AS135582     2
492   AS266725     2
495   AS328250     2
569   AS264783     2
512    AS53176     2
514    AS11758     2
515   AS135683     2
523    AS27839     2
524   AS266428     2
552    AS31359     2
557    AS52683     2
566    AS61893     2
1272    AS7642     2
906    AS55341     2
1483  AS136287     2
1458   AS52328     2
1449   AS13000     2
1448  AS265160     2
1568  AS262145     2
1571   AS52928     2
1447  AS327765     2
1441  AS136210     2
1440   AS37451     2
1438   AS52363     2
1575    AS9751     2
1435  AS132296     2
1704  AS264173     2
1580  AS267318     2
1705  AS263703     2
1429  AS267708     2
1423    AS2711     2
1590  AS266445     2
1665   AS52369     2
1593  AS136284     2
1410  AS142150     2
1404   AS52711     2
1403  AS263252     2
1402   AS37594     2
1663  AS135760     2
1598  AS263270     2
1401  AS266448     2
1399   AS61884     2
1599  AS262903     2
1566   AS53022     2
1701  AS265207     2
1708   AS36914     2
1700  AS134258     2
1524   AS52601     2
1681   AS55879     2
1527   AS37133     2
1520   AS18103     2
1517   AS52654     2
1529   AS51346     2
1683   AS53135     2
1534  AS204798     2
1537  AS263537     2
1506    AS9825     2
1539   AS55821     2
1542  AS264215     2
1544  AS262492     2
1547   AS15389     2
1551   AS58725     2
1680  AS135834     2
1494  AS200590     2
1487    AS8449     2
1690  AS263405     2
1480  AS264100     2
1478   AS46408     2
1475  AS264486     2
1678  AS262761     2
1474   AS37223     2
1672  AS394311     2
1468   AS14232     2
1467   AS52967     2
1396   AS45305     2
1525  AS266769     2
1608   AS62943     2
1308  AS135706     2
1340  AS327697     2
1361  AS263466     2
1625  AS262378     2
1713   AS24173     2
1322  AS138734     2
1357    AS9922     2
1646   AS27781     2
1611  AS263327     2
1329  AS262590     2
1624  AS142127     2
1619   AS23089     2
1348   AS37140     2
1346   AS10617     2
1612    AS9246     2
1661   AS28132     2
1345  AS265279     2
1330  AS263934     2
1333   AS53072     2
1336   AS55832     2
1309   AS28349     2
1617  AS265816     2
1645   AS36996     2
1607   AS37425     2
1281  AS140900     2
1280   AS28229     2
1634  AS137120     2
1635   AS27843     2
1644   AS55824     2
1712  AS265181     2
1393   AS18592     2
1302  AS265038     2
1641  AS134928     2
1659  AS136714     2
1369   AS17670     2
1376  AS266142     2
2217  AS263856     1
2168   AS61466     1
1737  AS268960     1
195    AS15457     1
1738  AS266716     1
198   AS269838     1
2226   AS35753     1
203   AS135697     1
2219  AS262738     1
2163  AS267619     1
2220   AS38553     1
368    AS52404     1
2222   AS36874     1
1643  AS149268     1
2161  AS133593     1
2225  AS202790     1
2223   AS30873     1
2224  AS263877     1
2165  AS134014     1
2188   AS47139     1
2173   AS28284     1
2212  AS263648     1
2229  AS263154     1
2199  AS136515     1
2198   AS37612     1
1652    AS8014     1
311    AS45349     1
1654  AS266772     1
1656  AS262818     1
2196    AS7562     1
2194  AS328469     1
2200  AS266416     1
2183  AS263462     1
2193  AS262424     1
2192  AS136480     1
2184  AS264367     1
2185   AS37009     1
2190   AS26599     1
2189   AS61588     1
2178  AS262993     1
2201   AS38764     1
232    AS38235     1
247   AS262632     1
2169  AS134053     1
363   AS267513     1
2171   AS49902     1
2172  AS262494     1
2210  AS263702     1
2174   AS53048     1
1740    AS7656     1
1751  AS262537     1
1670  AS265451     1
2207  AS262744     1
2206  AS265484     1
1750  AS262490     1
2205  AS263236     1
1648   AS15511     1
2204   AS52941     1
2203  AS265630     1
263   AS264202     1
1273   AS24337     1
2230  AS137080     1
2302    AS8047     1
2313   AS24492     1
2312   AS45804     1
2310  AS142552     1
2309  AS135607     1
2308   AS27997     1
2307  AS266555     1
2306  AS264797     1
2305    AS9976     1
2304   AS52858     1
2303  AS138501     1
2301   AS34525     1
2287   AS28255     1
2300   AS54994     1
2299  AS264265     1
2297   AS17762     1
2296   AS24441     1
2294   AS28154     1
40    AS264774     1
2292   AS28283     1
2291   AS45090     1
2290    AS7727     1
2289   AS52739     1
2314  AS262794     1
2315   AS52405     1
2316  AS267276     1
2317  AS132497     1
2338    AS9557     1
2337   AS27833     1
2336   AS27927     1
2335  AS263271     1
2334  AS135247     1
2333  AS271806     1
2332   AS38256     1
2331   AS28280     1
2330  AS133334     1
2329  AS262595     1
2328  AS265475     1
2327  AS263086     1
2326   AS27693     1
2325  AS265445     1
2324   AS36890     1
2323  AS263689     1
2322  AS133648     1
2321  AS135449     1
2320   AS52251     1
2319  AS262713     1
2318  AS265175     1
2288  AS262427     1
2286   AS52544     1
2231  AS263321     1
2245  AS328079     1
2255  AS265798     1
2254  AS137404     1
2253   AS45102     1
2252   AS53158     1
400    AS52565     1
2250  AS266812     1
2249  AS263258     1
1688   AS59126     1
2247   AS53138     1
1685  AS266965     1
2244   AS53078     1
2285   AS14051     1
2243  AS267882     1
2242   AS17806     1
171   AS266904     1
2240  AS262509     1
2239   AS52374     1
2238   AS28577     1
2236  AS142581     1
2235   AS61820     1
2234   AS59185     1
2233  AS327769     1
2256   AS39608     1
1696   AS61786     1
154    AS53170     1
2259  AS140072     1
2284   AS61704     1
2283   AS28169     1
2282   AS22606     1
2281  AS138543     1
2280  AS132267     1
1722   AS37204     1
2278   AS11492     1
72     AS22869     1
2275   AS27792     1
2273  AS264732     1
2272  AS263332     1
2271  AS263980     1
104    AS28048     1
2269   AS18419     1
2268  AS132976     1
2267  AS265817     1
2266  AS138536     1
1703  AS266312     1
1726  AS267594     1
2263  AS265144     1
2262  AS263025     1
2158  AS263297     1
1604  AS132453     1
2156   AS52238     1
1990   AS64315     1
1988  AS263456     1
1027   AS10075     1
1846    AS7575     1
1030   AS33763     1
1984  AS263373     1
1983   AS10036     1
1981   AS55685     1
1041  AS262606     1
1849  AS262365     1
1977  AS141709     1
1976  AS266934     1
1417   AS61937     1
1851   AS52968     1
1049  AS264552     1
1073    AS4764     1
1856  AS135761     1
1080  AS204457     1
1081   AS52838     1
1962   AS37129     1
1989   AS28264     1
1844  AS265317     1
1394    AS5009     1
1437   AS57000     1
1485    AS5078     1
2024  AS265363     1
1476   AS11562     1
2019   AS37002     1
2018  AS268925     1
1829   AS37273     1
947   AS264386     1
2013  AS268982     1
2012   AS53081     1
1461  AS263099     1
969    AS14340     1
2007   AS40945     1
1451  AS264459     1
1837   AS27751     1
2002  AS135327     1
997   AS269036     1
1999   AS61910     1
1840   AS23673     1
1996  AS139752     1
1960  AS269853     1
1109   AS53075     1
1499  AS262420     1
1877   AS16125     1
1220  AS266646     1
1924  AS263919     1
1923  AS140579     1
1339   AS43197     1
1917   AS53085     1
1233  AS140608     1
1915  AS266539     1
1913  AS267124     1
1326  AS139941     1
1887   AS27789     1
1909   AS19551     1
1246   AS52564     1
1905  AS270358     1
1904   AS20590     1
1256  AS262766     1
1304   AS17726     1
1900  AS266358     1
1270    AS8448     1
1897  AS269616     1
1217  AS262231     1
1876   AS28145     1
1957  AS264161     1
1930   AS52507     1
1956   AS53147     1
1110  AS137098     1
1117   AS28658     1
1120   AS28032     1
1390   AS31242     1
1950   AS28219     1
1122   AS52532     1
1948   AS38442     1
1865  AS264744     1
1866   AS23955     1
1366   AS40021     1
1364  AS201241     1
1154  AS262838     1
1155  AS265290     1
1163  AS264444     1
1359  AS132447     1
1184   AS27787     1
1872   AS12847     1
1352  AS266188     1
1718  AS327956     1
2031  AS267203     1
1637  AS203779     1
2124  AS262932     1
2122   AS27818     1
2120  AS262505     1
2119  AS327799     1
2118   AS28329     1
2116  AS202316     1
509   AS263801     1
1603   AS58893     1
1775   AS52609     1
2112  AS267427     1
2109   AS52375     1
1594  AS266935     1
533    AS53222     1
537    AS60636     1
2105  AS263209     1
2104  AS267904     1
555   AS262880     1
1583  AS265194     1
1782   AS38614     1
2098   AS18200     1
2123  AS262150     1
2125  AS133647     1
2095  AS263645     1
1771  AS140499     1
2153  AS133579     1
1630  AS265675     1
425    AS27851     1
426    AS55329     1
2148  AS262715     1
2147   AS28305     1
2146  AS265278     1
2144  AS265232     1
2143  AS131418     1
2140  AS266475     1
450   AS139977     1
2137  AS262274     1
451   AS142009     1
2135   AS29405     1
1614  AS139034     1
2133   AS61570     1
1767  AS265377     1
2129  AS263649     1
1769  AS133676     1
572    AS22689     1
1784   AS28698     1
884    AS45361     1
1528  AS263470     1
2056  AS266454     1
778    AS49020     1
792    AS61663     1
805    AS28580     1
808    AS58898     1
1521  AS138713     1
1810  AS266129     1
2047   AS11014     1
829    AS52865     1
1510  AS263626     1
1509  AS264255     1
1508   AS63991     1
1816   AS23671     1
2038   AS45184     1
2037   AS27960     1
880    AS53169     1
882   AS263864     1
2034   AS11844     1
1818  AS132934     1
2057   AS13122     1
2062  AS262549     1
2093  AS262498     1
724    AS17470     1
1574  AS267641     1
1573  AS263646     1
628   AS267548     1
1572   AS53122     1
652   AS136168     1
2084   AS27901     1
2082  AS136119     1
2081  AS262463     1
2080  AS262617     1
2079  AS262827     1
1561   AS37620     1
2077  AS266520     1
1560   AS16058     1
1558  AS264765     1
1557   AS28066     1
2073   AS14434     1
702     AS9821     1
2071   AS38628     1
1545  AS266414     1
2339    AS9930     1
